Layer,Color,Side,Group,SubGroup,ModelID,Level,RelatedTo
认知层信息模型,#722ed1,left,载运装备认知,延误情况检测,R-D-A3-9,a3,
认知层信息模型,#722ed1,left,载运装备认知,延误情况检测,R-D-A4-9,a4,
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A2-10,a2,
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A3-10,a3,
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A4-10,a4,
认知层信息模型,#722ed1,left,载运装备认知,驾驶行为识别,R-D-A2-11,a2,
认知层信息模型,#722ed1,left,载运装备认知,驾驶行为识别,R-D-A3-11,a3,
认知层信息模型,#722ed1,left,载运装备认知,驾驶员状态监测,R-D-A1-12,a1,
认知层信息模型,#722ed1,left,载运装备认知,驾驶员状态监测,R-D-A2-12,a2,
认知层信息模型,#722ed1,left,载运装备认知,驾驶员状态监测,R-D-A3-12,a3,
认知层信息模型,#722ed1,left,载运装备认知,车道偏离状态认知,R-D-A2-13,a2,
认知层信息模型,#722ed1,left,载运装备认知,车道偏离状态认知,R-D-A3-13,a3,
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A2-14,a2,
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A3-14,a3,
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A4-14,a4,
认知层信息模型,#722ed1,left,路侧装备认知,车辆轨迹预测,R-E-A2-15,a2,
认知层信息模型,#722ed1,left,路侧装备认知,车辆轨迹预测,R-E-A3-15,a3,
认知层信息模型,#722ed1,left,路侧装备认知,车辆轨迹预测,R-E-A4-15,a4,
决策层信息模型,#52c41a,left,路侧装备认知,高精度地图要素实时检测与更新,D-C-A3-16,a3,
决策层信息模型,#52c41a,left,路侧装备认知,高精度地图要素实时检测与更新,D-C-A4-16,a4,
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A4-17,a4,
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A4-17,a4,
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A4-17,a4,
传输层信息模型,#1890ff,left,信息交互,车路通信V2I,T-D-A3-18,a3,
传输层信息模型,#1890ff,left,信息交互,车路通信V2I,T-D-A3-18,a3,
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A2-19,a2,
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A3-19,a3,
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A4-19,a4,
传输层信息模型,#1890ff,left,信息交互,路网通信I2N,T-E-A3-20,a3,
传输层信息模型,#1890ff,left,信息交互,路网通信I2N,T-E-A4-20,a4,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A1-21,a1,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A2-21,a2,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A3-21,a3,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A4-21,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A2-22,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A3-22,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A4-22,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆失控预警,D-D-A2-23,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆失控预警,D-D-A3-23,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆跟驰,D-D-A3-24,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆跟驰,D-D-A4-24,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,自主泊车,D-D-A3-25,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,自主泊车,D-D-A4-25,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A2-26,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A3-26,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A4-26,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A2-27,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A3-27,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A4-27,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A2-28,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A3-28,a3,
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A4-28,a4,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆路径规划,D-D-A2-29,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,人机接管决策,D-D-A2-30,a2,
决策层信息模型,#52c41a,left,载运装备自主决策,人机接管决策,D-D-A3-30,a3,
控制层信息模型,#8c8c8c,left,车辆控制,紧急制动,C-D-A2-31,a2,
控制层信息模型,#8c8c8c,left,车辆控制,紧急制动,C-D-A3-31,a3,
控制层信息模型,#8c8c8c,left,车辆控制,紧急转向避让,C-D-A2-32,a2,
控制层信息模型,#8c8c8c,left,车辆控制,紧急转向避让,C-D-A3-32,a3,
控制层信息模型,#8c8c8c,left,车辆控制,紧急转向避让,C-D-A4-32,a4,
控制层信息模型,#8c8c8c,left,车辆控制,车速引导,C-D-A2-33,a2,
控制层信息模型,#8c8c8c,left,车辆控制,车速引导,C-D-A3-33,a3,
控制层信息模型,#8c8c8c,left,车辆控制,车速引导,C-D-A4-33,a4,
控制层信息模型,#8c8c8c,left,车辆控制,车辆路径规划,C-D-A3-34,a3,
控制层信息模型,#8c8c8c,left,车辆控制,车辆路径规划,C-D-A4-34,a4,
控制层信息模型,#8c8c8c,left,车辆控制,车载信息显示,C-D-A1-35,a1,
控制层信息模型,#8c8c8c,left,车辆控制,车载信息显示,C-D-A2-35,a2,
控制层信息模型,#8c8c8c,left,车辆控制,车载信息显示,C-D-A3-35,a3,
控制层信息模型,#8c8c8c,left,车辆控制,车辆事故紧急呼叫,C-D-A2-36,a2,
控制层信息模型,#8c8c8c,left,车辆控制,车辆事故紧急呼叫,C-D-A3-36,a3,
控制层信息模型,#8c8c8c,left,车辆控制,车辆事故紧急呼叫,C-D-A4-36,a4,
控制层信息模型,#8c8c8c,left,车辆控制,泊车运动控制,C-D-A3-37,a3,
控制层信息模型,#8c8c8c,left,车辆控制,泊车运动控制,C-D-A4-37,a4,
决策层信息模型,#52c41a,right,端端协同决策,车辆编队,D-D-A3-38,a3,
决策层信息模型,#52c41a,right,端端协同决策,车辆编队,D-D-A4-38,a4,
决策层信息模型,#52c41a,right,端端协同决策,借道会车,D-D-A3-39,a3,
决策层信息模型,#52c41a,right,端端协同决策,借道会车,D-D-A4-39,a4,
决策层信息模型,#52c41a,right,端端协同决策,应急车辆优先,D-C-A3-40,a3,
决策层信息模型,#52c41a,right,端端协同决策,应急车辆优先,D-C-A4-40,a4,
决策层信息模型,#52c41a,right,端边协同决策,道路危险状况提示,D-D-A2-41,a2,
决策层信息模型,#52c41a,right,端边协同决策,道路危险状况提示,D-D-A3-41,a3,
决策层信息模型,#52c41a,right,端边协同决策,拥堵提醒,D-D-A2-42,a2,
决策层信息模型,#52c41a,right,端边协同决策,拥堵提醒,D-D-A3-42,a3,
决策层信息模型,#52c41a,right,端边协同决策,拥堵提醒,D-D-A4-42,a4,
决策层信息模型,#52c41a,right,端边协同决策,异常车辆提醒,D-D-A2-43,a2,
决策层信息模型,#52c41a,right,端边协同决策,异常车辆提醒,D-D-A3-43,a3,
决策层信息模型,#52c41a,right,端边协同决策,紧急任务车辆提醒,D-D-A2-44,a2,
决策层信息模型,#52c41a,right,端边协同决策,紧急任务车辆提醒,D-D-A3-44,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,交叉口车辆通行权决策,D-E-A2-45,a2,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,交叉口车辆通行权决策,D-E-A3-45,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,交叉口车辆通行权决策,D-E-A4-45,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,交叉口排队溢出疏解,D-E-A3-46,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,交叉口排队溢出疏解,D-E-A4-46,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,闯红灯预警,D-C-A3-47,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,闯红灯预警,D-C-A4-47,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,弱势交通参与者碰撞预警,D-D-A2-48,a2,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,弱势交通参与者碰撞预警,D-D-A3-48,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,弱势交通参与者碰撞预警,D-D-A4-48,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,绿波车速引导,D-C-A3-49,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,绿波车速引导,D-C-A4-49,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,车道功能动态调整,D-C-A3-50,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,车道功能动态调整,D-C-A4-50,a4,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,拥堵交通分流服务,D-C-A3-51,a3,
决策层信息模型,#52c41a,right,交叉口自主通行与冲突避让,拥堵交通分流服务,D-C-A4-51,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网区域识别,D-C-A2-52,a2,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网区域识别,D-C-A3-52,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网区域识别,D-C-A4-52,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网时空信息整合,D-C-A3-53,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网时空信息整合,D-C-A4-53,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,时空协作域划分,D-C-A3-54,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,时空协作域划分,D-C-A4-54,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,时空协作域,D-C-A3-55,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,时空协作域,D-C-A4-55,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,边侧车辆轨迹匹配,D-E-A3-56,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,边侧车辆轨迹匹配,D-E-A4-56,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,边侧路径流量计算,D-E-A3-57,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,边侧路径流量计算,D-E-A4-57,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,云侧路网流量计算,D-C-A2-58,a2,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网信息融合,D-C-A2-59,a2,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网信息融合,D-C-A3-59,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网信息融合,D-C-A4-59,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,OD流量估计,D-C-A2-60,a2,
决策层信息模型,#52c41a,right,城市路网区域协同决策,OD流量估计,D-C-A3-60,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,OD流量估计,D-C-A4-60,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,关键路径识别,D-C-A2-61,a2,
决策层信息模型,#52c41a,right,城市路网区域协同决策,关键路径识别,D-C-A3-61,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,关键路径识别,D-C-A4-61,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网动态通行能力评估,D-C-A3-62,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网动态通行能力评估,D-C-A4-62,a4,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网车辆路径负载均衡,D-C-A3-63,a3,
决策层信息模型,#52c41a,right,城市路网区域协同决策,路网车辆路径负载均衡,D-C-A4-63,a4,
控制层信息模型,#8c8c8c,right,端端协同控制,协作式变道,C-D-A3-64,a3,
控制层信息模型,#8c8c8c,right,端端协同控制,协作式变道,C-D-A4-64,a4,
控制层信息模型,#8c8c8c,right,端端协同控制,协作式车辆汇入,C-D-A3-65,a3,
控制层信息模型,#8c8c8c,right,端端协同控制,协作式车辆汇入,C-D-A4-65,a4,
控制层信息模型,#8c8c8c,right,信号控制,关键交叉口信号控制,C-C-A3-66,a3,
控制层信息模型,#8c8c8c,right,信号控制,关键交叉口信号控制,C-C-A4-66,a4,
控制层信息模型,#8c8c8c,right,信号控制,干线交叉口信号控制,C-C-A3-67,a3,
控制层信息模型,#8c8c8c,right,信号控制,干线交叉口信号控制,C-C-A4-67,a4,
决策层信息模型,#52c41a,right,信号控制,公交信号优先,D-C-A3-68,a3,
决策层信息模型,#52c41a,right,信号控制,公交信号优先,D-C-A4-68,a4,
控制层信息模型,#8c8c8c,right,信号控制,公交信号优先自适应补偿,C-C-A3-69,a3,
控制层信息模型,#8c8c8c,right,信号控制,公交信号优先自适应补偿,C-C-A4-69,a4,
感知层信息模型,#f6bd16,right,公交协同运行与智能调控,公交车内客流感知,P-D-A3-70,a3,
感知层信息模型,#f6bd16,right,公交协同运行与智能调控,公交车内客流感知,P-D-A4-70,a4,
感知层信息模型,#f6bd16,right,公交协同运行与智能调控,站台客流感知,P-E-A3-71,a3,
感知层信息模型,#f6bd16,right,公交协同运行与智能调控,站台客流感知,P-E-A4-71,a4,
认知层信息模型,#722ed1,right,公交协同运行与智能调控,公交乘客 OD 与乘降需求推断,R-C-A3-72,a3,
认知层信息模型,#722ed1,right,公交协同运行与智能调控,公交乘客 OD 与乘降需求推断,R-C-A4-72,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,路径-信息协同优化,D-C-A3-73,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,路径-信息协同优化,D-C-A4-73,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交运力动态调配,D-C-A3-74,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交运力动态调配,D-C-A4-74,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交停站方案优化,D-C-A3-75,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交停站方案优化,D-C-A4-75,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交道路车速引导,D-C-A3-76,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交道路车速引导,D-C-A4-76,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交进站车速引导,D-C-A3-77,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交进站车速引导,D-C-A4-77,a4,
控制层信息模型,#8c8c8c,right,公交协同运行与智能调控,公交精准停靠控制,C-D-A3-78,a3,
控制层信息模型,#8c8c8c,right,公交协同运行与智能调控,公交精准停靠控制,C-D-A4-78,a4,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交出站时机优化,D-C-A3-79,a3,
决策层信息模型,#52c41a,right,公交协同运行与智能调控,公交出站时机优化,D-C-A4-79,a4,
感知层信息模型,#f6bd16,right,公铁联运运行协同,公铁联运节点运行状态感知,P-E-A3-80,a3,
传输层信息模型,#1890ff,right,公铁联运运行协同,公铁联运到发状态交互,T-C-A3-81,a3,
决策层信息模型,#52c41a,right,公铁联运运行协同,公铁联运运力匹配,D-C-A3-82,a3,
决策层信息模型,#52c41a,right,公铁联运运行协同,公铁联运衔接计划,D-C-A3-83,a3,
决策层信息模型,#52c41a,right,公铁联运运行协同,公铁联运衔接计划,D-C-A4-83,a4,
控制层信息模型,#8c8c8c,right,公铁联运运行协同,公铁联运异常协同调整,C-C-A3-84,a3,
感知层信息模型,#f6bd16,right,港口码头运行协同调度,港口码头运行状态感知,P-E-A3-85,a3,
传输层信息模型,#1890ff,right,港口码头运行协同调度,船舶到离港状态交互,T-C-A3-86,a3,
决策层信息模型,#52c41a,right,港口码头运行协同调度,泊位资源动态调度,D-C-A3-87,a3,
决策层信息模型,#52c41a,right,港口码头运行协同调度,泊位资源动态调度,D-C-A4-87,a4,
决策层信息模型,#52c41a,right,港口码头运行协同调度,港区车辆进出场协同调度,D-C-A3-88,a3,
决策层信息模型,#52c41a,right,港口码头运行协同调度,船港集疏运衔接计划,D-C-A3-89,a3,
决策层信息模型,#52c41a,right,港口码头运行协同调度,船港集疏运衔接计划,D-C-A4-89,a4,
控制层信息模型,#8c8c8c,right,港口码头运行协同调度,港口运行异常协同调整,C-C-A3-90,a3,
