Layer,Color,Side,Group,SubGroup,ModelID,Level,RelatedTo,Upstream,Downstream
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A3-3,a3,R-D-A3-10;R-E-A3-15;R-C-A3-16;D-C-A3-40;D-E-A3-46;D-C-A2-47;D-C-A3-49;D-C-A3-61;D-C-A3-67;C-C-A3-68;D-D-A3-75;D-D-A3-78,,R-D-A3-10;R-E-A3-15;R-C-A3-16;D-C-A3-40;D-E-A3-46;D-C-A2-47;D-C-A3-49;D-C-A3-61;D-C-A3-67;C-C-A3-68;D-D-A3-75;D-D-A3-78
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A4-3,a4,R-D-A4-10;R-E-A4-15;R-C-A4-16;D-C-A4-40;D-E-A4-46;D-C-A4-49;D-C-A4-61;D-C-A4-67;C-C-A4-68;D-D-A4-75;D-D-A4-78,,R-D-A4-10;R-E-A4-15;R-C-A4-16;D-C-A4-40;D-E-A4-46;D-C-A4-49;D-C-A4-61;D-C-A4-67;C-C-A4-68;D-D-A4-75;D-D-A4-78
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A2-4,a2,R-E-A2-14;D-D-A2-42;D-C-A2-52;D-C-A2-57,,R-E-A2-14;D-D-A2-42;D-C-A2-52;D-C-A2-57
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A3-4,a3,R-D-A3-9;R-E-A3-14;D-D-A3-42;D-E-A3-46;D-C-A3-52;D-E-A3-56;D-C-A3-61;D-C-A3-67;C-C-A3-68,,R-D-A3-9;R-E-A3-14;D-D-A3-42;D-E-A3-46;D-C-A3-52;D-E-A3-56;D-C-A3-61;D-C-A3-67;C-C-A3-68
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A4-4,a4,R-D-A4-9;R-E-A4-14;D-D-A4-42;D-E-A4-46;D-C-A4-52;D-E-A4-56;D-C-A4-61;D-C-A4-67;C-C-A4-68,,R-D-A4-9;R-E-A4-14;D-D-A4-42;D-E-A4-46;D-C-A4-52;D-E-A4-56;D-C-A4-61;D-C-A4-67;C-C-A4-68
感知层信息模型,#f6bd16,left,路侧设备感知,交通参与者感知,P-E-A3-5,a3,R-D-A3-10;R-E-A3-15;D-D-A3-24;D-D-A3-26;D-D-A3-38;D-D-A3-39;D-E-A3-45;D-D-A3-48,,R-D-A3-10;R-E-A3-15;D-D-A3-24;D-D-A3-26;D-D-A3-38;D-D-A3-39;D-E-A3-45;D-D-A3-48
感知层信息模型,#f6bd16,left,路侧设备感知,交通参与者感知,P-E-A4-5,a4,R-D-A4-10;R-E-A4-15;D-D-A4-24;D-D-A4-26;D-D-A4-38;D-D-A4-39;D-E-A4-45;D-D-A4-48,,R-D-A4-10;R-E-A4-15;D-D-A4-24;D-D-A4-26;D-D-A4-38;D-D-A4-39;D-E-A4-45;D-D-A4-48
感知层信息模型,#f6bd16,left,路侧设备感知,交通事件感知,P-E-A3-6,a3,R-D-A3-9;R-E-A3-14;R-C-A3-16;D-D-A3-41;D-C-A3-50;R-E-A3-93,,R-D-A3-9;R-E-A3-14;R-C-A3-16;D-D-A3-41;D-C-A3-50;R-E-A3-93
感知层信息模型,#f6bd16,left,路侧设备感知,交通事件感知,P-E-A4-6,a4,R-D-A4-9;R-E-A4-14;R-C-A4-16;D-C-A4-50,,R-D-A4-9;R-E-A4-14;R-C-A4-16;D-C-A4-50
感知层信息模型,#f6bd16,left,路侧设备感知,泊位占用感知,P-E-A3-8,a3,T-D-A3-18;D-D-A3-25;D-E-A3-97;D-D-A3-76,,T-D-A3-18;D-D-A3-25;D-E-A3-97;D-D-A3-76
感知层信息模型,#f6bd16,left,路侧设备感知,泊位占用感知,P-E-A4-8,a4,T-D-A4-18;D-D-A4-25;D-E-A4-97;D-D-A4-76,,T-D-A4-18;D-D-A4-25;D-E-A4-97;D-D-A4-76
认知层信息模型,#722ed1,left,载运装备认知,延误情况检测,R-D-A3-9,a3,P-D-A3-1;P-D-A3-2;P-E-A3-4;P-E-A3-6;R-E-A3-7;T-D-A3-19;D-D-A3-42;D-C-A3-51,P-D-A3-1;P-D-A3-2;P-E-A3-4;P-E-A3-6;R-E-A3-7;T-D-A3-19,D-D-A3-42;D-C-A3-51
认知层信息模型,#722ed1,left,载运装备认知,延误情况检测,R-D-A4-9,a4,P-D-A4-1;P-D-A4-2;P-E-A4-4;P-E-A4-6;R-E-A4-7;T-D-A4-19;D-D-A4-42;D-C-A4-51,P-D-A4-1;P-D-A4-2;P-E-A4-4;P-E-A4-6;R-E-A4-7;T-D-A4-19,D-D-A4-42;D-C-A4-51
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A2-10,a2,P-D-A2-1;P-D-A2-2;P-E-A2-3;T-D-A2-17;D-D-A2-22;D-D-A2-30;C-D-A2-32;D-D-A2-48,P-D-A2-1;P-D-A2-2;P-E-A2-3;T-D-A2-17,D-D-A2-22;D-D-A2-30;C-D-A2-32;D-D-A2-48
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A3-10,a3,P-D-A3-1;P-D-A3-2;P-E-A3-3;P-E-A3-5;T-D-A3-18;D-D-A3-22;D-D-A3-30;C-D-A3-32;D-E-A3-45;D-D-A3-48,P-D-A3-1;P-D-A3-2;P-E-A3-3;P-E-A3-5;T-D-A3-18,D-D-A3-22;D-D-A3-30;C-D-A3-32;D-E-A3-45;D-D-A3-48
认知层信息模型,#722ed1,left,载运装备认知,冲突情况检测,R-D-A4-10,a4,P-D-A4-1;P-D-A4-2;P-E-A4-3;P-E-A4-5;T-D-A4-18;D-D-A4-22;C-D-A4-32;D-E-A4-45;D-D-A4-48,P-D-A4-1;P-D-A4-2;P-E-A4-3;P-E-A4-5;T-D-A4-18,D-D-A4-22;C-D-A4-32;D-E-A4-45;D-D-A4-48
认知层信息模型,#722ed1,left,载运装备认知,驾驶行为识别,R-D-A2-11,a2,P-D-A2-1;R-D-A2-12;R-D-A2-15,P-D-A2-1,R-D-A2-12;R-D-A2-15
认知层信息模型,#722ed1,left,载运装备认知,驾驶行为识别,R-D-A3-11,a3,P-D-A3-1;R-D-A3-12;R-E-A3-15;D-E-A3-45,P-D-A3-1,R-D-A3-12;R-E-A3-15;D-E-A3-45
认知层信息模型,#722ed1,left,载运装备认知,驾驶员状态监测,R-D-A2-12,a2,R-D-A2-11;D-D-A2-30;C-D-A2-35,R-D-A2-11,D-D-A2-30;C-D-A2-35
认知层信息模型,#722ed1,left,载运装备认知,驾驶员状态监测,R-D-A3-12,a3,R-D-A3-11;D-D-A3-30;C-D-A3-35,R-D-A3-11,D-D-A3-30;C-D-A3-35
认知层信息模型,#722ed1,left,载运装备认知,车道偏离状态认知,R-D-A2-13,a2,P-D-A2-1;P-D-A2-2;C-D-A2-35,P-D-A2-1;P-D-A2-2,C-D-A2-35
认知层信息模型,#722ed1,left,载运装备认知,车道偏离状态认知,R-D-A3-13,a3,P-D-A3-1;P-D-A3-2;C-D-A3-35,P-D-A3-1;P-D-A3-2,C-D-A3-35
认知层信息模型,#722ed1,left,载运装备认知,车辆轨迹预测,R-D-A2-15,a2,P-D-A2-1;R-D-A2-11;D-D-A2-22;D-D-A2-28;C-D-A2-32,P-D-A2-1;R-D-A2-11,D-D-A2-22;D-D-A2-28;C-D-A2-32
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A2-14,a2,P-E-A2-4;R-E-A2-7;T-D-A2-19;D-D-A2-42;D-C-A2-52;D-C-A2-57;D-C-A2-58,P-E-A2-4;R-E-A2-7;T-D-A2-19,D-D-A2-42;D-C-A2-52;D-C-A2-57;D-C-A2-58
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A3-14,a3,P-E-A3-4;P-E-A3-6;R-E-A3-7;T-D-A3-18;T-D-A3-19;T-E-A3-20;D-D-A3-42;D-C-A3-49;D-C-A3-50;D-C-A3-51;D-C-A3-52;D-C-A3-53;D-C-A3-61,P-E-A3-4;P-E-A3-6;R-E-A3-7;T-D-A3-19;T-E-A3-20,T-D-A3-18;T-E-A3-20;D-D-A3-42;D-C-A3-49;D-C-A3-50;D-C-A3-51;D-C-A3-52;D-C-A3-53;D-C-A3-61
认知层信息模型,#722ed1,left,路侧装备认知,交通流预测,R-E-A4-14,a4,P-E-A4-4;P-E-A4-6;R-E-A4-7;T-D-A4-18;T-D-A4-19;T-E-A4-20;D-D-A4-42;D-C-A4-49;D-C-A4-50;D-C-A4-51;D-C-A4-52;D-C-A4-53;D-C-A4-61,P-E-A4-4;P-E-A4-6;R-E-A4-7;T-D-A4-19;T-E-A4-20,T-D-A4-18;T-E-A4-20;D-D-A4-42;D-C-A4-49;D-C-A4-50;D-C-A4-51;D-C-A4-52;D-C-A4-53;D-C-A4-61
认知层信息模型,#722ed1,left,路侧装备认知,车辆轨迹预测,R-E-A3-15,a3,P-D-A3-1;P-D-A3-2;P-E-A3-3;P-E-A3-5;R-D-A3-11;T-D-A3-17;T-D-A3-18;D-D-A3-22;D-D-A3-24;D-D-A3-26;D-D-A3-28;C-D-A3-32;D-D-A3-38;D-D-A3-39;D-E-A3-45,P-D-A3-1;P-D-A3-2;P-E-A3-3;P-E-A3-5;R-D-A3-11;T-D-A3-17;T-D-A3-18,T-D-A3-18;D-D-A3-22;D-D-A3-24;D-D-A3-26;D-D-A3-28;C-D-A3-32;D-D-A3-38;D-D-A3-39;D-E-A3-45
认知层信息模型,#722ed1,left,路侧装备认知,车辆轨迹预测,R-E-A4-15,a4,P-D-A4-1;P-D-A4-2;P-E-A4-3;P-E-A4-5;T-D-A4-17;T-D-A4-18;D-D-A4-22;D-D-A4-24;D-D-A4-26;D-D-A4-28;C-D-A4-32;D-D-A4-38;D-D-A4-39;D-E-A4-45;C-D-A4-63,P-D-A4-1;P-D-A4-2;P-E-A4-3;P-E-A4-5;T-D-A4-17;T-D-A4-18,T-D-A4-18;D-D-A4-22;D-D-A4-24;D-D-A4-26;D-D-A4-28;C-D-A4-32;D-D-A4-38;D-D-A4-39;D-E-A4-45;C-D-A4-63
认知层信息模型,#722ed1,left,路侧装备认知,高精度地图要素实时检测与更新,R-C-A3-16,a3,P-D-A3-2;P-E-A3-3;P-E-A3-6;T-D-A3-19;T-E-A3-20;D-C-A3-50;D-C-A3-62,P-D-A3-2;P-E-A3-3;P-E-A3-6;T-D-A3-19;T-E-A3-20;D-C-A3-50,D-C-A3-62
认知层信息模型,#722ed1,left,路侧装备认知,高精度地图要素实时检测与更新,R-C-A4-16,a4,P-D-A4-2;P-E-A4-3;P-E-A4-6;T-D-A4-19;T-E-A4-20;D-C-A4-50;D-C-A4-62,P-D-A4-2;P-E-A4-3;P-E-A4-6;T-D-A4-19;T-E-A4-20;D-C-A4-50,D-C-A4-62
认知层信息模型,#722ed1,left,路侧装备认知,气象条件认知,R-E-A2-7,a2,R-E-A2-14;D-D-A2-27;D-D-A2-41,,R-E-A2-14;D-D-A2-27;D-D-A2-41
认知层信息模型,#722ed1,left,路侧装备认知,气象条件认知,R-E-A3-7,a3,R-D-A3-9;R-E-A3-14;D-D-A3-27;C-D-A3-33;D-D-A3-38;D-D-A3-41,,R-D-A3-9;R-E-A3-14;D-D-A3-27;C-D-A3-33;D-D-A3-38;D-D-A3-41
认知层信息模型,#722ed1,left,路侧装备认知,气象条件认知,R-E-A4-7,a4,R-D-A4-9;R-E-A4-14;D-D-A4-27;C-D-A4-33;D-D-A4-38,,R-D-A4-9;R-E-A4-14;D-D-A4-27;C-D-A4-33;D-D-A4-38
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A2-17,a2,P-D-A2-1;R-D-A2-10;D-D-A2-26;D-D-A2-43;D-D-A2-44,P-D-A2-1,R-D-A2-10;D-D-A2-26;D-D-A2-43;D-D-A2-44
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A3-17,a3,P-D-A3-1;R-E-A3-15;D-D-A3-24;D-D-A3-26;D-D-A3-38;D-D-A3-39;D-D-A3-43;D-D-A3-44;D-D-A3-78;C-D-A3-63;C-D-A3-64,P-D-A3-1,R-E-A3-15;D-D-A3-24;D-D-A3-26;D-D-A3-38;D-D-A3-39;D-D-A3-43;D-D-A3-44;D-D-A3-78;C-D-A3-63;C-D-A3-64
传输层信息模型,#1890ff,left,信息交互,车车通信V2V,T-D-A4-17,a4,P-D-A4-1;R-E-A4-15;D-D-A4-24;D-D-A4-26;D-D-A4-38;D-D-A4-39;D-D-A4-78;C-D-A4-63;C-D-A4-64,P-D-A4-1,R-E-A4-15;D-D-A4-24;D-D-A4-26;D-D-A4-38;D-D-A4-39;D-D-A4-78;C-D-A4-63;C-D-A4-64
传输层信息模型,#1890ff,left,信息交互,车路通信V2I,T-D-A3-18,a3,P-D-A3-1;P-E-A3-8;R-E-A3-14;R-E-A3-15;D-E-A3-97;P-D-A3-69;R-D-A3-10;D-D-A3-24;D-D-A3-25;D-D-A3-27;C-D-A3-33;C-D-A3-35;D-D-A3-38;D-D-A3-39;D-D-A3-41;D-D-A3-42;D-D-A3-43;D-D-A3-44;D-E-A3-45;D-D-A3-48;D-C-A3-49;D-D-A3-75;D-D-A3-76;D-D-A3-78;R-E-A3-91;C-D-A3-63;C-D-A3-64,P-D-A3-1;P-E-A3-8;R-E-A3-14;R-E-A3-15;D-E-A3-97;P-D-A3-69,R-D-A3-10;R-E-A3-15;D-D-A3-24;D-D-A3-25;D-D-A3-27;C-D-A3-33;C-D-A3-35;D-D-A3-38;D-D-A3-39;D-D-A3-41;D-D-A3-42;D-D-A3-43;D-D-A3-44;D-E-A3-97;D-E-A3-45;D-D-A3-48;D-C-A3-49;D-D-A3-75;D-D-A3-76;D-D-A3-78;R-E-A3-91;C-D-A3-63;C-D-A3-64
传输层信息模型,#1890ff,left,信息交互,车路通信V2I,T-D-A4-18,a4,P-D-A4-1;P-E-A4-8;R-E-A4-14;R-E-A4-15;D-E-A4-97;P-D-A4-69;R-D-A4-10;D-D-A4-24;D-D-A4-25;D-D-A4-27;C-D-A4-33;D-D-A4-38;D-D-A4-39;D-D-A4-42;D-E-A4-45;D-D-A4-48;D-C-A4-49;D-D-A4-75;D-D-A4-76;D-D-A4-78;C-D-A4-63;C-D-A4-64,P-D-A4-1;P-E-A4-8;R-E-A4-14;R-E-A4-15;D-E-A4-97;P-D-A4-69,R-D-A4-10;R-E-A4-15;D-D-A4-24;D-D-A4-25;D-D-A4-27;C-D-A4-33;D-D-A4-38;D-D-A4-39;D-D-A4-42;D-E-A4-97;D-E-A4-45;D-D-A4-48;D-C-A4-49;D-D-A4-75;D-D-A4-76;D-D-A4-78;C-D-A4-63;C-D-A4-64
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A2-19,a2,P-D-A2-1;R-E-A2-14;C-D-A2-35;D-D-A2-41;D-D-A2-42;D-C-A2-52;D-C-A2-57;D-C-A2-58;D-C-A2-59;D-C-A2-60,P-D-A2-1,R-E-A2-14;C-D-A2-35;D-D-A2-41;D-D-A2-42;D-C-A2-52;D-C-A2-57;D-C-A2-58;D-C-A2-59;D-C-A2-60
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A3-19,a3,P-D-A3-1;R-D-A3-9;R-E-A3-14;R-C-A3-16;C-D-A3-33;C-D-A3-35;D-C-A3-40;D-C-A3-50;D-C-A3-52;D-C-A3-53;D-C-A3-58;D-C-A3-59;D-C-A3-60;D-C-A3-61;D-C-A3-62;D-C-A3-67;P-D-A3-69;R-C-A3-71;D-C-A3-73;D-C-A3-74;D-D-A3-76,P-D-A3-1;D-C-A3-62;P-D-A3-69;D-C-A3-74,R-D-A3-9;R-E-A3-14;R-C-A3-16;C-D-A3-33;C-D-A3-35;D-C-A3-40;D-C-A3-50;D-C-A3-52;D-C-A3-53;D-C-A3-58;D-C-A3-59;D-C-A3-60;D-C-A3-61;D-C-A3-62;D-C-A3-67;R-C-A3-71;D-C-A3-73;D-C-A3-74;D-D-A3-76
传输层信息模型,#1890ff,left,信息交互,车网通信V2N,T-D-A4-19,a4,P-D-A4-1;R-D-A4-9;R-E-A4-14;R-C-A4-16;C-D-A4-33;D-C-A4-40;D-C-A4-50;D-C-A4-52;D-C-A4-53;D-C-A4-58;D-C-A4-59;D-C-A4-60;D-C-A4-61;D-C-A4-62;D-C-A4-67;P-D-A4-69;R-C-A4-71;D-C-A4-73;D-C-A4-74;D-D-A4-76,P-D-A4-1;D-C-A4-62;P-D-A4-69;D-C-A4-74,R-D-A4-9;R-E-A4-14;R-C-A4-16;C-D-A4-33;D-C-A4-40;D-C-A4-50;D-C-A4-52;D-C-A4-53;D-C-A4-58;D-C-A4-59;D-C-A4-60;D-C-A4-61;D-C-A4-62;D-C-A4-67;R-C-A4-71;D-C-A4-73;D-C-A4-74;D-D-A4-76
传输层信息模型,#1890ff,left,信息交互,路网通信I2N,T-E-A3-20,a3,R-E-A3-14;R-C-A3-16;D-C-A3-40;D-E-A3-46;D-C-A3-50;D-C-A3-52;D-C-A3-53;D-C-A3-58;D-C-A3-59;D-C-A3-60;D-C-A3-61;D-C-A3-62;D-C-A3-67;C-C-A3-68;R-E-A3-70;D-C-A3-73;D-C-A3-74;R-E-A3-91,R-E-A3-14;D-E-A3-46;R-E-A3-70,R-E-A3-14;R-C-A3-16;D-C-A3-40;D-C-A3-50;D-C-A3-52;D-C-A3-53;D-C-A3-58;D-C-A3-59;D-C-A3-60;D-C-A3-61;D-C-A3-62;D-C-A3-67;C-C-A3-68;D-C-A3-73;D-C-A3-74;R-E-A3-91
传输层信息模型,#1890ff,left,信息交互,路网通信I2N,T-E-A4-20,a4,R-E-A4-14;R-C-A4-16;D-C-A4-40;D-E-A4-46;D-C-A4-50;D-C-A4-52;D-C-A4-53;D-C-A4-58;D-C-A4-59;D-C-A4-60;D-C-A4-61;D-C-A4-62;D-C-A4-67;C-C-A4-68;R-E-A4-70;D-C-A4-73;D-C-A4-74,R-E-A4-14;D-E-A4-46;R-E-A4-70,R-E-A4-14;R-C-A4-16;D-C-A4-40;D-C-A4-50;D-C-A4-52;D-C-A4-53;D-C-A4-58;D-C-A4-59;D-C-A4-60;D-C-A4-61;D-C-A4-62;D-C-A4-67;C-C-A4-68;D-C-A4-73;D-C-A4-74
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A1-21,a1,P-D-A1-1,P-D-A1-1,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A2-21,a2,C-D-A2-36,C-D-A2-36,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A3-21,a3,C-D-A3-36,C-D-A3-36,
传输层信息模型,#1890ff,left,信息交互,车服通信V2S,T-D-A4-21,a4,C-D-A4-36,C-D-A4-36,
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A2-22,a2,R-D-A2-10;R-D-A2-15;C-D-A2-35,R-D-A2-10;R-D-A2-15,C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A3-22,a3,R-D-A3-10;R-E-A3-15;C-D-A3-32;C-D-A3-33;C-D-A3-35,R-D-A3-10;R-E-A3-15,C-D-A3-32;C-D-A3-33;C-D-A3-35
决策层信息模型,#52c41a,left,载运装备自主决策,前向碰撞预警,D-D-A4-22,a4,R-D-A4-10;R-E-A4-15;C-D-A4-32;C-D-A4-33,R-D-A4-10;R-E-A4-15,C-D-A4-32;C-D-A4-33
决策层信息模型,#52c41a,left,载运装备自主决策,车辆失控预警,D-D-A2-23,a2,P-D-A2-1;C-D-A2-31;C-D-A2-35,P-D-A2-1,C-D-A2-31;C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,车辆失控预警,D-D-A3-23,a3,P-D-A3-1;C-D-A3-31;C-D-A3-35,P-D-A3-1,C-D-A3-31;C-D-A3-35
决策层信息模型,#52c41a,left,载运装备自主决策,车辆跟驰,D-D-A3-24,a3,P-D-A3-1;P-E-A3-5;R-E-A3-15;T-D-A3-17;T-D-A3-18;C-D-A3-33;C-D-A3-35;D-D-A3-38;C-D-A3-64,P-D-A3-1;P-E-A3-5;R-E-A3-15;T-D-A3-17;T-D-A3-18,C-D-A3-33;C-D-A3-35;D-D-A3-38;C-D-A3-64
决策层信息模型,#52c41a,left,载运装备自主决策,车辆跟驰,D-D-A4-24,a4,P-D-A4-1;P-E-A4-5;R-E-A4-15;T-D-A4-17;T-D-A4-18;C-D-A4-33;D-D-A4-38;C-D-A4-64,P-D-A4-1;P-E-A4-5;R-E-A4-15;T-D-A4-17;T-D-A4-18,C-D-A4-33;D-D-A4-38;C-D-A4-64
决策层信息模型,#52c41a,left,载运装备自主决策,自主泊车,D-D-A3-25,a3,P-D-A3-1;P-E-A3-8;T-D-A3-18;C-D-A3-35;C-D-A3-37;D-E-A3-97,P-D-A3-1;P-E-A3-8;T-D-A3-18;D-E-A3-97,C-D-A3-35;C-D-A3-37
决策层信息模型,#52c41a,left,载运装备自主决策,自主泊车,D-D-A4-25,a4,P-D-A4-1;P-E-A4-8;T-D-A4-18;C-D-A4-37;D-E-A4-97,P-D-A4-1;P-E-A4-8;T-D-A4-18;D-E-A4-97,C-D-A4-37
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A2-26,a2,T-D-A2-17;C-D-A2-32;C-D-A2-35,T-D-A2-17,C-D-A2-32;C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A3-26,a3,P-E-A3-5;R-E-A3-15;T-D-A3-17;C-D-A3-32;C-D-A3-35,P-E-A3-5;R-E-A3-15;T-D-A3-17,C-D-A3-32;C-D-A3-35
决策层信息模型,#52c41a,left,载运装备自主决策,盲区预警,D-D-A4-26,a4,P-E-A4-5;R-E-A4-15;T-D-A4-17;C-D-A4-32,P-E-A4-5;R-E-A4-15;T-D-A4-17,C-D-A4-32
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A2-27,a2,P-D-A2-2;P-E-A2-3;R-E-A2-7;C-D-A2-35,P-D-A2-2;P-E-A2-3;R-E-A2-7,C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A3-27,a3,P-D-A3-2;R-E-A3-7;T-D-A3-18;C-D-A3-33;C-D-A3-35,P-D-A3-2;R-E-A3-7;T-D-A3-18,C-D-A3-33;C-D-A3-35
决策层信息模型,#52c41a,left,载运装备自主决策,限速预警,D-D-A4-27,a4,P-D-A4-2;R-E-A4-7;T-D-A4-18;C-D-A4-33,P-D-A4-2;R-E-A4-7;T-D-A4-18,C-D-A4-33
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A2-28,a2,R-D-A2-15;C-D-A2-35,R-D-A2-15,C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A3-28,a3,R-E-A3-15;C-D-A3-35,R-E-A3-15,C-D-A3-35
决策层信息模型,#52c41a,left,载运装备自主决策,变道预警,D-D-A4-28,a4,R-E-A4-15,R-E-A4-15,
决策层信息模型,#52c41a,left,载运装备自主决策,车辆路径规划,D-D-A2-29,a2,C-D-A2-35;D-C-A2-60,D-C-A2-60,C-D-A2-35
决策层信息模型,#52c41a,left,载运装备自主决策,人机接管决策,D-D-A2-30,a2,R-D-A2-10;R-D-A2-12;C-D-A2-31;C-D-A2-35,R-D-A2-10;R-D-A2-12,C-D-A2-31;C-D-A2-35
